month,unemp,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
1990m1,6.7,1,0,0,0,0,0,0,0,0,0,0,0
1990m2,7.1,0,1,0,0,0,0,0,0,0,0,0,0
1990m3,6.5,0,0,1,0,0,0,0,0,0,0,0,0
1990m4,6.3,0,0,0,1,0,0,0,0,0,0,0,0
1990m5,6.5,0,0,0,0,1,0,0,0,0,0,0,0
1990m6,6.4,0,0,0,0,0,1,0,0,0,0,0,0
1990m7,6.7,0,0,0,0,0,0,1,0,0,0,0,0
1990m8,7,0,0,0,0,0,0,0,1,0,0,0,0
1990m9,7.3,0,0,0,0,0,0,0,0,1,0,0,0
1990m10,7.1,0,0,0,0,0,0,0,0,0,1,0,0
1990m11,7.4,0,0,0,0,0,0,0,0,0,0,1,0
1990m12,8.1,0,0,0,0,0,0,0,0,0,0,0,1
1991m1,9.1,1,0,0,0,0,0,0,0,0,0,0,0
1991m2,9.5,0,1,0,0,0,0,0,0,0,0,0,0
1991m3,9.6,0,0,1,0,0,0,0,0,0,0,0,0
1991m4,9.9,0,0,0,1,0,0,0,0,0,0,0,0
1991m5,9.5,0,0,0,0,1,0,0,0,0,0,0,0
1991m6,9,0,0,0,0,0,1,0,0,0,0,0,0
1991m7,9.5,0,0,0,0,0,0,1,0,0,0,0,0
1991m8,9.5,0,0,0,0,0,0,0,1,0,0,0,0
1991m9,10,0,0,0,0,0,0,0,0,1,0,0,0
1991m10,9.4,0,0,0,0,0,0,0,0,0,1,0,0
1991m11,9.6,0,0,0,0,0,0,0,0,0,0,1,0
1991m12,10.5,0,0,0,0,0,0,0,0,0,0,0,1
1992m1,11.2,1,0,0,0,0,0,0,0,0,0,0,0
1992m2,11.5,0,1,0,0,0,0,0,0,0,0,0,0
1992m3,10.9,0,0,1,0,0,0,0,0,0,0,0,0
1992m4,10.5,0,0,0,1,0,0,0,0,0,0,0,0
1992m5,10.6,0,0,0,0,1,0,0,0,0,0,0,0
1992m6,10.5,0,0,0,0,0,1,0,0,0,0,0,0
1992m7,10.6,0,0,0,0,0,0,1,0,0,0,0,0
1992m8,10.4,0,0,0,0,0,0,0,1,0,0,0,0
1992m9,10.6,0,0,0,0,0,0,0,0,1,0,0,0
