,Time,AuGDP,quarter,year,t
0,1/01/1960,64683000000,1,1960,1/01/1960
1,1/04/1960,66473000000,2,1960,1/04/1960
2,1/07/1960,66623000000,3,1960,1/07/1960
3,1/10/1960,66490000000,4,1960,1/10/1960
4,1/01/1961,66690000000,1,1961,1/01/1961
5,1/04/1961,65958000000,2,1961,1/04/1961
6,1/07/1961,65486000000,3,1961,1/07/1961
7,1/10/1961,66232000000,4,1961,1/10/1961
8,1/01/1962,68091000000,1,1962,1/01/1962
9,1/04/1962,69395000000,2,1962,1/04/1962
10,1/07/1962,69957000000,3,1962,1/07/1962
11,1/10/1962,71213000000,4,1962,1/10/1962
12,1/01/1963,72857000000,1,1963,1/01/1963
13,1/04/1963,71908000000,2,1963,1/04/1963
14,1/07/1963,74859000000,3,1963,1/07/1963
15,1/10/1963,76463000000,4,1963,1/10/1963
16,1/01/1964,76341000000,1,1964,1/01/1964
17,1/04/1964,78225000000,2,1964,1/04/1964
18,1/07/1964,78710000000,3,1964,1/07/1964
19,1/10/1964,80948000000,4,1964,1/10/1964
20,1/01/1965,81627000000,1,1965,1/01/1965
21,1/04/1965,82907000000,2,1965,1/04/1965
22,1/07/1965,82665000000,3,1965,1/07/1965
23,1/10/1965,82865000000,4,1965,1/10/1965
24,1/01/1966,82626000000,1,1966,1/01/1966
25,1/04/1966,83758000000,2,1966,1/04/1966
26,1/07/1966,86126000000,3,1966,1/07/1966
27,1/10/1966,86690000000,4,1966,1/10/1966
28,1/01/1967,90073000000,1,1967,1/01/1967
29,1/04/1967,89946000000,2,1967,1/04/1967
30,1/07/1967,91637000000,3,1967,1/07/1967
31,1/10/1967,92432000000,4,1967,1/10/1967
32,1/01/1968,91609000000,1,1968,1/01/1968
33,1/04/1968,95136000000,2,1968,1/04/1968
34,1/07/1968,96393000000,3,1968,1/07/1968
35,1/10/1968,99987000000,4,1968,1/10/1968
36,1/01/1969,99294000000,1,1969,1/01/1969
37,1/04/1969,1.01262E+11,2,1969,1/04/1969
38,1/07/1969,1.02937E+11,3,1969,1/07/1969
39,1/10/1969,1.05309E+11,4,1969,1/10/1969
40,1/01/1970,1.07497E+11,1,1970,1/01/1970
41,1/04/1970,1.0966E+11,2,1970,1/04/1970
42,1/07/1970,1.09432E+11,3,1970,1/07/1970
43,1/10/1970,1.09955E+11,4,1970,1/10/1970
44,1/01/1971,1.11284E+11,1,1971,1/01/1971
45,1/04/1971,1.11765E+11,2,1971,1/04/1971
46,1/07/1971,1.15277E+11,3,1971,1/07/1971
47,1/10/1971,1.14905E+11,4,1971,1/10/1971
48,1/01/1972,1.13511E+11,1,1972,1/01/1972
49,1/04/1972,1.16053E+11,2,1972,1/04/1972
50,1/07/1972,1.15464E+11,3,1972,1/07/1972
51,1/10/1972,1.16681E+11,4,1972,1/10/1972
52,1/01/1973,1.19694E+11,1,1973,1/01/1973
53,1/04/1973,1.19924E+11,2,1973,1/04/1973
54,1/07/1973,1.21129E+11,3,1973,1/07/1973
55,1/10/1973,1.2415E+11,4,1973,1/10/1973
56,1/01/1974,1.24174E+11,1,1974,1/01/1974
57,1/04/1974,1.21669E+11,2,1974,1/04/1974
58,1/07/1974,1.2313E+11,3,1974,1/07/1974
59,1/10/1974,1.23246E+11,4,1974,1/10/1974
60,1/01/1975,1.23734E+11,1,1975,1/01/1975
61,1/04/1975,1.27641E+11,2,1975,1/04/1975
62,1/07/1975,1.26243E+11,3,1975,1/07/1975
63,1/10/1975,1.2433E+11,4,1975,1/10/1975
64,1/01/1976,1.29829E+11,1,1976,1/01/1976
65,1/04/1976,1.30229E+11,2,1976,1/04/1976
66,1/07/1976,1.31285E+11,3,1976,1/07/1976
67,1/10/1976,1.3243E+11,4,1976,1/10/1976
68,1/01/1977,1.31709E+11,1,1977,1/01/1977
69,1/04/1977,1.33577E+11,2,1977,1/04/1977
70,1/07/1977,1.33007E+11,3,1977,1/07/1977
71,1/10/1977,1.32591E+11,4,1977,1/10/1977
72,1/01/1978,1.33526E+11,1,1978,1/01/1978
73,1/04/1978,1.34621E+11,2,1978,1/04/1978
74,1/07/1978,1.36663E+11,3,1978,1/07/1978
75,1/10/1978,1.37797E+11,4,1978,1/10/1978
76,1/01/1979,1.41568E+11,1,1979,1/01/1979
77,1/04/1979,1.393E+11,2,1979,1/04/1979
78,1/07/1979,1.40594E+11,3,1979,1/07/1979
79,1/10/1979,1.43307E+11,4,1979,1/10/1979
80,1/01/1980,1.43951E+11,1,1980,1/01/1980
81,1/04/1980,1.44324E+11,2,1980,1/04/1980
82,1/07/1980,1.45084E+11,3,1980,1/07/1980
83,1/10/1980,1.47584E+11,4,1980,1/10/1980
84,1/01/1981,1.48154E+11,1,1981,1/01/1981
85,1/04/1981,1.50452E+11,2,1981,1/04/1981
86,1/07/1981,1.53476E+11,3,1981,1/07/1981
87,1/10/1981,1.52862E+11,4,1981,1/10/1981
88,1/01/1982,1.51623E+11,1,1982,1/01/1982
89,1/04/1982,1.52995E+11,2,1982,1/04/1982
90,1/07/1982,1.51973E+11,3,1982,1/07/1982
91,1/10/1982,1.49567E+11,4,1982,1/10/1982
92,1/01/1983,1.48065E+11,1,1983,1/01/1983
93,1/04/1983,1.47784E+11,2,1983,1/04/1983
94,1/07/1983,1.51907E+11,3,1983,1/07/1983
95,1/10/1983,1.54436E+11,4,1983,1/10/1983
96,1/01/1984,1.58313E+11,1,1984,1/01/1984
97,1/04/1984,1.601E+11,2,1984,1/04/1984
98,1/07/1984,1.61455E+11,3,1984,1/07/1984
99,1/10/1984,1.62573E+11,4,1984,1/10/1984
100,1/01/1985,1.64941E+11,1,1985,1/01/1985
101,1/04/1985,1.68583E+11,2,1985,1/04/1985
102,1/07/1985,1.70873E+11,3,1985,1/07/1985
103,1/10/1985,1.70427E+11,4,1985,1/10/1985
104,1/01/1986,1.71551E+11,1,1986,1/01/1986
105,1/04/1986,1.71249E+11,2,1986,1/04/1986
106,1/07/1986,1.71728E+11,3,1986,1/07/1986
107,1/10/1986,1.74577E+11,4,1986,1/10/1986
108,1/01/1987,1.76249E+11,1,1987,1/01/1987
109,1/04/1987,1.79012E+11,2,1987,1/04/1987
110,1/07/1987,1.82267E+11,3,1987,1/07/1987
