pm25,dewp,temp,cws,target,cbwd_1,cbwd_2,cbwd_3,clunar,cstorm,cwkend,nord_cws,date,cmonth_2.0,cmonth_3.0,cmonth_4.0,cmonth_5.0,cmonth_6.0,cmonth_7.0,cmonth_8.0,cmonth_9.0,cmonth_10.0,cmonth_11.0,cmonth_12.0,chour_1.0,chour_2.0,chour_3.0,chour_4.0,chour_5.0,chour_6.0,chour_7.0,chour_8.0,chour_9.0,chour_10.0,chour_11.0,chour_12.0,chour_13.0,chour_14.0,chour_15.0,chour_16.0,chour_17.0,chour_18.0,chour_19.0,chour_20.0,chour_21.0,chour_22.0,chour_23.0,pm25_1,pm25_2
159,-11,-5,3,181,0,0,0,0,0,1,0,2010-01-02 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,129
181,-7,-5,5,138,0,0,0,0,0,1,0,2010-01-02 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,148
138,-7,-5,6,109,0,0,0,0,0,1,0,2010-01-02 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,159
109,-7,-6,7,105,0,0,0,0,0,1,0,2010-01-02 05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,181
105,-7,-6,8,124,0,0,0,0,0,1,0,2010-01-02 06:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,138
124,-7,-5,10,120,0,0,0,0,0,1,0,2010-01-02 07:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,109
120,-8,-6,12,132,0,0,0,0,0,1,0,2010-01-02 08:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,105
132,-7,-5,14,140,0,0,0,0,0,1,0,2010-01-02 09:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,120,124
140,-7,-5,17,152,0,0,0,0,0,1,0,2010-01-02 10:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,132,120
152,-8,-5,20,148,0,0,0,0,0,1,0,2010-01-02 11:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,140,132
