Date,Open,High,Low,Close,Adj Close,Volume
11/01/2000,44.3125,47.875,36,38.0625,22.745279,998090900
12/01/2000,38.5,38.5,29.8125,30.0625,17.972366,1120692200
1/01/2001,30.6875,38.59375,30,37,22.119848,1211434900
2/01/2001,37.0625,38.234375,28,28.5625,17.075613,909408600
3/01/2001,28.25,33.6875,24.5625,26.3125,15.739317,1421494900
4/01/2001,26.0625,32.57,22.25,30.91,18.489391,1232602500
5/01/2001,30.77,32.5,26.4,27.01,16.156532,966714700
6/01/2001,27.26,31.93,26.139999,29.25,17.507397,1008249200
7/01/2001,29.58,31,27,29.809999,17.842581,965577600
8/01/2001,30.620001,32.23,26.879999,27.959999,16.735279,951559900
9/01/2001,27.559999,28.09,18.959999,20.440001,12.241859,1066764600
10/01/2001,20.209999,26.5,19.08,24.42,14.625546,1237428800
11/01/2001,24.530001,32.990002,24.25,32.66,19.560612,1113379500
12/01/2001,32.290001,34.849998,31.41,31.450001,18.850256,851932500
1/01/2002,31.9,36.779999,31.559999,35.040001,21.002003,1104847100
2/01/2002,34.82,35.07,28.5,28.549999,17.112076,958632000
3/01/2002,29.09,34.25,28.99,30.41,18.237648,923979300
4/01/2002,30.139999,31.450001,27.51,28.610001,17.158142,977552800
5/01/2002,28.57,31.360001,25.559999,27.620001,16.564411,976795600
6/01/2002,27.43,28.200001,17.450001,18.27,10.964849,1334010600
7/01/2002,18.35,19.879999,16.26,18.790001,11.27693,1507029200
8/01/2002,18.719999,19.67,15.82,16.67,10.004598,1182004600
9/01/2002,16.469999,17.040001,13.67,13.89,8.346153,1253168200
10/01/2002,14.05,17.51,12.95,17.299999,10.395144,1881026700
11/01/2002,17.1,21.299999,16.91,20.879999,12.546272,1250526600
12/01/2002,21.879999,22.09,15.42,15.57,9.365608,1176184400
1/01/2003,16.02,18.01,15.14,15.66,9.419742,1296861600
2/01/2003,15.65,17.290001,14.88,17.25,10.376153,972981900
3/01/2003,17.129999,19.01,15.59,16.280001,9.805224,1292712700
4/01/2003,16.379999,19.559999,16.280001,18.4,11.082069,1222054300
5/01/2003,18.370001,21.01,18.299999,20.82,12.539598,1286127600
6/01/2003,21,22.92,19.99,20.809999,12.546765,1356186800
7/01/2003,20.870001,25.5,20.51,24.889999,15.006678,1431224400
8/01/2003,24.780001,29.040001,23.33,28.59,17.23748,1148633000
9/01/2003,28.77,29.379999,27.219999,27.52,16.605568,1165832900
10/01/2003,27.82,33.279999,27.809999,32.950001,19.882032,1220535000
11/01/2003,33.330002,34.509998,31.66,33.540001,20.238041,904543000
12/01/2003,33.82,34.400002,29.66,32.049999,19.35046,1082622400
1/01/2004,32.360001,34.599998,30.35,30.52,18.426714,1125545500
2/01/2004,30.9,31.43,28.65,29.200001,17.629751,1096668000
3/01/2004,29.040001,30.139999,26.030001,27.200001,16.443182,1699989600
4/01/2004,27.370001,28.559999,25.719999,25.73,15.554524,1377614900
5/01/2004,26.049999,28.98,25.610001,28.549999,17.259291,1195945600
6/01/2004,28.370001,29.01,27.129999,27.6,16.71043,1025083900
7/01/2004,27.389999,27.48,22.459999,24.379999,14.760878,1685420600
8/01/2004,24.040001,24.99,20.860001,21.290001,12.890038,1268945500
9/01/2004,21.1,21.719999,19.639999,20.059999,12.165466,1564929800
10/01/2004,20.299999,22.610001,20.219999,22.26,13.499666,1523801700
11/01/2004,22.190001,24.99,22.15,22.379999,13.572443,1424847200
12/01/2004,22.5,24.5,22.440001,23.389999,14.2101,1490134800
1/01/2005,23.639999,23.790001,21.889999,22.450001,13.639023,1589091300
2/01/2005,22.49,24.629999,22.17,23.99,14.574615,1420647100
3/01/2005,24.360001,25.469999,22.959999,23.23,14.163068,1362583000
4/01/2005,23.34,23.9,21.940001,23.52,14.339885,1365595400
5/01/2005,23.5,27.4,23.35,26.959999,16.437206,1293616200
6/01/2005,26.799999,27.75,25.73,26.02,15.917542,1169082600
7/01/2005,26.23,28.84,26.08,27.139999,16.602684,1067827200
8/01/2005,27.24,27.66,25.309999,25.719999,15.73402,994634900
9/01/2005,25.58,26.120001,23.799999,24.65,15.123349,1085852500
10/01/2005,24.74,24.959999,22.75,23.5,14.4178,1165374500
11/01/2005,23.18,27.15,22.530001,26.68,16.368801,1130819800
12/01/2005,26.940001,27.49,24.870001,24.959999,15.366141,1104580800
1/01/2006,25.190001,26.629999,21.1,21.26,13.088316,1852525400
2/01/2006,21.24,21.68,19.879999,20.6,12.682002,1590202000
3/01/2006,20.73,21,19.309999,19.459999,12.036952,1935500400
4/01/2006,19.68,20.27,18.6,19.98,12.358599,1498496500
5/01/2006,20.059999,20.219999,17.74,18.02,11.146243,1676106300
6/01/2006,18.049999,19.360001,16.75,19,11.812723,1609055300
7/01/2006,19.27,19.389999,16.84,18,11.190999,1271383700
8/01/2006,17.889999,20,17.219999,19.57,12.167105,1287884000
9/01/2006,19.9,20.950001,19.030001,20.57,12.861948,1396655300
10/01/2006,20.559999,22.030001,20.17,21.34,13.343408,1587909000
11/01/2006,21.370001,22.5,20.32,21.4,13.380921,1182225800
12/01/2006,21.32,21.450001,20.030001,20.25,12.72338,909179000
1/01/2007,20.450001,22.299999,20.139999,20.959999,13.169481,1614851100
2/01/2007,20.98,21.67,19.799999,19.860001,12.478339,1175995900
3/01/2007,19.52,19.799999,18.75,19.129999,12.083988,1380681800
4/01/2007,19.15,22.299999,19.030001,21.5,13.581061,1477884000
5/01/2007,21.559999,23.139999,21.450001,22.18,14.010613,1282004400
6/01/2007,22.34,24.450001,21.290001,23.74,15.073689,1332613900
7/01/2007,23.879999,26.52,23.530001,23.620001,14.997499,1499628800
8/01/2007,23.559999,25.799999,22.09,25.75,16.349939,1533784300
9/01/2007,25.82,26.43,24.6,25.860001,16.496492,1186023200
10/01/2007,26.040001,26.98,25.16,26.9,17.159927,1566472800
11/01/2007,26.700001,27.540001,24.32,26.08,16.636845,1368224000
12/01/2007,26.030001,27.99,25.379999,26.66,17.078844,943306700
1/01/2008,26.280001,26.34,18.049999,21.1,13.517013,2466431600
2/01/2008,21.4,21.82,19.5,19.969999,12.793116,1461654100
3/01/2008,20.059999,22.450001,19.440001,21.18,13.650681,1355904700
4/01/2008,21.51,23.02,20.5,22.26,14.346746,1281765800
5/01/2008,22.360001,25.290001,22.360001,23.18,14.9397,1143725900
6/01/2008,23.049999,24,21.219999,21.48,13.926721,1135974600
7/01/2008,21.290001,22.620001,19.709999,22.190001,14.387057,1379893000
8/01/2008,22.42,24.75,21.98,22.870001,14.827934,1085887300
9/01/2008,23.27,23.48,17.27,18.73,12.219703,1623820500
10/01/2008,18.5,18.690001,13.37,16.030001,10.458186,2340996600
11/01/2008,16.129999,16.389999,12.06,13.8,9.003305,1534106100
12/01/2008,13.46,15.68,12.38,14.66,9.647448,1330676100
1/01/2009,14.69,15.51,12.5,12.9,8.489228,1272188700
2/01/2009,12.82,15.15,12.05,12.74,8.383929,1328263700
3/01/2009,12.51,15.89,12.07,15.03,9.992828,1633445000
4/01/2009,14.77,16.389999,14.62,15.78,10.491471,1505340900
5/01/2009,15.76,16.74,15,15.72,10.451577,1338935300
6/01/2009,16.030001,16.700001,15.61,16.549999,11.096663,1304048600
7/01/2009,16.67,19.799999,15.78,19.25,12.906992,1726189600
8/01/2009,19.48,20.65,18.41,20.32,13.624418,1109221900
9/01/2009,20.219999,20.58,19.219999,19.57,13.217331,1065272900
10/01/2009,19.49,21.27,18.74,19.110001,12.906651,1704082000
11/01/2009,19.049999,20.5,18.309999,19.200001,12.96744,1184437600
12/01/2009,19.459999,20.719999,19,20.4,13.882959,1038055000
1/01/2010,20.790001,21.549999,19.299999,19.4,13.202429,1509082400
2/01/2010,19.469999,20.969999,18.950001,20.530001,13.971429,1125494400
3/01/2010,20.68,22.75,20.26,22.290001,15.290522,1290896200
4/01/2010,22.4,24.370001,22.16,22.84,15.667809,1550379100
5/01/2010,22.98,23.440001,19.9,21.42,14.693719,1830571300
6/01/2010,21.299999,22,19.4,19.450001,13.43644,1364086200
7/01/2010,19.43,22.280001,18.959999,20.6,14.230876,1607900800
8/01/2010,20.9,21.280001,17.6,17.67,12.206775,1741791400
9/01/2010,17.940001,19.620001,17.75,19.200001,13.364911,1347521700
10/01/2010,19.469999,20.559999,18.77,20.049999,13.956588,1399157800
11/01/2010,20.35,21.809999,20.219999,21.16,14.729244,1126956500
12/01/2010,21.459999,22.07,20.65,21.030001,14.753359,920821000
1/01/2011,21.01,21.940001,20.27,21.459999,15.055021,1449438700
2/01/2011,21.49,22.209999,21.01,21.469999,15.06203,1002697600
3/01/2011,21.610001,22.08,19.709999,20.18,14.276907,1330377500
4/01/2011,20.379999,23.190001,19.360001,23.15,16.378115,1446913800
5/01/2011,23.02,23.959999,22.110001,22.51,15.925332,1583498800
